year,sex,age,value
2006,1,24,2138575
2006,1,25,2139011
2006,1,26,2095497
2006,1,27,2004824
2006,1,28,1948157
2006,1,29,1908100
2006,1,30,1908207
2006,1,31,1920967
2006,1,32,1890125
2006,1,33,1928913
2006,1,34,2025038
2006,1,35,2148987
2006,1,36,2196017
2006,1,37,2059996
2006,1,38,2020763
2006,1,39,2026022
2006,1,40,2081774
2006,1,41,2235552
2006,1,42,2257544
2006,1,43,2246886
2006,1,44,2242649
2006,1,45,2255226
2006,1,46,2322962
2006,1,47,2223663
2006,1,48,2216534
2006,1,49,2191446
2006,1,50,2089893
2006,1,51,2125890
2006,1,52,2010094
2006,1,53,1949539
2006,1,54,1889337
2006,1,55,1816409
2006,1,56,1830564
2006,1,57,1746603
2006,1,58,1728992
2006,1,59,1801227
2006,1,60,1326336
2006,1,61,1335279
2006,1,62,1303566
2006,1,63,1340312
2006,1,64,1168771
2006,1,65,1077812
2006,1,66,1042044
2006,1,67,986584
2006,1,68,953381
2006,1,69,884178
2006,1,70,848416
2006,1,71,843344
2006,1,72,755357
2006,1,73,743108
2006,1,74,718165
2006,1,75,689385
2006,1,76,686620
2006,1,77,629385
2006,1,78,605767
2006,1,79,566741
2006,1,80,515325
2006,1,81,487526
2006,1,82,436936
2006,1,83,392892
2006,1,84,351889
2006,1,85,307777
2006,1,86,261471
2006,1,87,210258
2006,1,88,178549
2006,1,89,140148
2006,1,90,110104
2006,1,91,88414
2006,1,92,67120
2006,1,93,48580
2006,1,94,34549
2006,1,95,23992
2006,1,96,16800
2006,1,97,11005
2006,1,98,7374
2006,1,99,4747
2006,1,100,7502
2007,1,0,2120816
2007,1,1,2044119
2007,1,2,2031170
2007,1,3,2045144
2007,1,4,2044444
2007,1,5,2038482
2007,1,6,2064421
2007,1,7,2001256
2007,1,8,1975219
2007,1,9,1994550
2007,1,10,2082772
2007,1,11,2101341
2007,1,12,2147007
2007,1,13,2154619
2007,1,14,2185221
2007,1,15,2236697
2007,1,16,2286631
2007,1,17,2329969
2007,1,18,2259498
2007,1,19,2223695
2007,1,20,2175195
2007,1,21,2184771
2007,1,22,2175374
2007,1,23,2125328
2007,1,24,2147168
2007,1,25,2150579
2007,1,26,2111196
2007,1,27,2105989
2007,1,28,2007290
2007,1,29,1938385
2007,1,30,1965174
2007,1,31,1869108
2007,1,32,1954635
2007,1,33,1890360
2007,1,34,1932154
2007,1,35,2042845
2007,1,36,2142266
2007,1,37,2185701
2007,1,38,2062939
